img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/Complexcon 2025 E-ticket.pdf---image_page1_3.png, qrcode = TA25CCTEST3CLwdmZmcn3BMfZVmJiTwo3kE+mg6hrpS4Krkecc1arFA2NGnGFXlbqBpgGtx1eaT7qgSzHE0u9jpKmUivIXei4b+i6j/b+I/wh9JnvSW7y/+w48K8WSRD4a98gMQ9/5Fo9 , seat_info = A 25
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882156.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnhzxbJ3iNAZ99tebVK6ZYcw9CG+g63Z/ZeYpbhnqzVjeM9BYxLWpnq1u1585U2c8D6xGn/5v+ozeD0KZnjwF7clX1QI1hSPcifAV , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882142.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh31a57pNwIp8YEWH/X5JnvsOhLf09qf62QEtYmUWtkAhi+Ppq1en+VdnbWE9gn8PWVRMeUDEsLy3HkBbrBmTF9R5Q50pRhfj/iL , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882022.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxv1Zsu1PFB48oYm11Evm7TbqoGlB6QN0LCfagSIOBCrLw3r0OKyrADAmY2ZcG729xM2FMpVoGaPvbY5gYGIzlVhdaXtFWxs8rel , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882036.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxrxZpizM1Qr89DAbEkVSO4fz/ng9tdEWMyNlh2cbEo/BNJjVpJV0Am1hw16CRf3ZKcVdRYGDPslcQb6Fg2J3CdlwZvhM8RKl/sX , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882037.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxrwZ57nZF4s+oL1ZHHzsjdj1y7dwoBb3qRbkd9wz8DsvLueBeGLFFXzrsmRIxjYULJwqD8pAgwBdet7s3GSff5aARKsOE4a6AkA , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882023.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxv0aZjoM1Usp9UdlXUNOur+maCKSOofQyC9GZQzIReqH9vl977spEkdP+UFwOGteF5a4RawMADmpHPdazMSnvKmIWPPNtZIsHkB , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882143.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh30OpjpM1UuoYWPFLKl6PkeWSn5G6L8/4c8PEkZxNe7MxPxg2rKcCw2SMscaEmdRrg3/8OXVcJ8npSwriEjQs9g+vrJuOOVR2oc , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882157.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnhzwaJ3jMAN/9oIqmXBeYEyO0mKZWmJXtAO5lcYsmaBIzuq97gCR0mDe3cIPe+WFzte7tf/2qrJS9csaYd+0s6/G7sR5uKTbXy2l , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882141.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh32acjiZgQo9tHd9u7+ypQiaT5pLdCssGFDmvrtOjlD4U+/7Rkq+FaqW8zDNm/Yt4m4zylsrFLNuyPfBRUENfKpX0lX/8rxjS0t , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882155.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnhzyPZa1YQR99NJGcB1aJrJbsjDhSm7twr8k9v5nTI+lGUqtZl6jtAXDD7Xtli8Hg+k9Uq/DuI3jBq5T5FAtMxgyfciFu4hedRTj , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882169.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh/+b8/pYFEj+tdv4mYI57E0m9saE6oO/B7ktKTD8EWa10olHOT7bC7OTx8SCn5+crzmaD/h69Rxgefaglii+dPbN6r0HECkeKXl , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882035.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxryaMzjYFMsp9DTf7A5n02Seq0jtMa43175NXXzUTkHqJ7N4sOuoTWBP4mjX089Nz9YZZbp1xtE2hE5jyt35i1AtYrzZgd2tMAN , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882021.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxv2bp2yMlEu9tIi+/8FFFW4+6BcFGU3+j9DjyFmn6VGL3pYk19OT4ZiE0xw0L0P7yWiiB2dbI27oTTnHTeksyOyEeoHgK4QXyMA , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882009.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxn+Z5niM1Aio9ajqWD2tQ7lVY2t2T2nyB3kW7uYMBMBkVbG6d2tv8Bc8gS78eC3X3WntF75EI55upAG7OhPv7OG7Or3Pyiu2Fob , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882008.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxn/PJzmMl4s8IWpFXUyJo5pA7Dmz9hbWBrw9npWFu6HcEFoUTMJVDBpfDIZCE3+73odSkyqjvfx7bL9XBaUsuk/YQ4P4Zi9OGKG , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882020.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxv3aprjZlIj+tFo7kkZh9LIuAnpTmUTDAHkbrYF4PenchoL7TrayOY0iOYJBjli6BQxcGxe4lYo1OoLUUkKjjTMGvBdZfw3L9az , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882034.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxrzPZm1ZFIp+tXOkHFZdzkzXq8/6W9oD4T7ps57NttoxaAiBGRAktvQmBM6lTM4asuLtCexhA8CfH8SUDGOdG/dRn4TgTZX2xoR , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882168.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh//PZ3iPVQq9IKVUeiUMY+/cT2KKyUQHijvaBWxowA+ouFsqNdNXCoezCMFhGyj0MWlAajaNWtCFubfD3c0YbbbcIn3vVW8CRpD , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882154.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnhzzbc3oYFUtp4YJUqB2SkVIyRP3yECnSBZ1uNCVZJ/OVxCS6ijSU/16HuwO5RO7bGuElG9ZUczQnfL074dIo5vMduvOyxtdCr3R , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882140.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh33a8ywMV8v8oU6cN4xSivRDGm8mDIW4qUY3z3GmeZEElwczfOLQSOdWbIpvPt9En+06SDYkW2Ohux1oNPhrJh1t9gFnHE/ea+Z , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882178.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh7/OczlNAIt8tRxMSW5QHuyx8+oU/bVUCN/a0TAvhdokcuwSXIe6Mx80GkuJ8nwH3i0a0hseK0OJY/x03M0sVWdoc8XJrA6d7te , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882144.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh3zapjnM1cr99QR2By2HgqyvVMF3Ce1O/LC1GdjgueZNpcxEy3XTUFKiLl34TvQJDbLDErQheIM7B4mDm7xY9dKBQM65H75rgYr , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882150.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnhz3b8ywYVcpoNVBP8IYsSBizsnw6O/h0ew+1qt+9/vXv2UJbnqbBjcNSd7gB3BbBg23+9Dyhb6SLB/3KcjFI+tqN0aDIH1B0zvB , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882018.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxj/Ps/pM1EsptebiCmz8ExZYfKUo4m+DCBpi+1CjJYBDuh/Yf+PpcSikyB0c1Gn624hfu5cOTaSouuGYnmB3jX7AKoGRoddHGT9 , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882030.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxr3PZ6yPAMu996HiH0FjJvC87+lz3aFEJRfzRm0wLSvgSz+lEayuxzq3tWf+rMNyIZdZWafoNHuRCa4btHZrzVlNAxkvzQoKxa8 , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882024.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxvzPp2wNQR4o9UerXErHHYYkj1APCgX47szHkV+5BtYBOKxntIORqpf9GdlCeZHz4lwEPn4bL/TaupUukUqKQZr9fI3oyIlSVRD , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882025.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxvyPsqzMFQr+4YQyAhV5bsXaZyMQxY2VIj8EhNNg3CGiq66s5EnQiJN4jFzYxujWIOtJFzbP9zQAPO//Sh35V1prEEzy/VvFQ8S , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882031.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxr2a53nNF99+tYORPo3totw4UdUlWOPQCK1HZolbi/uS/r5f78vue0V/z+kvpxB5mNyTEXYPWLCGYegqfMazhwDtB6EfWcuahxd , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882019.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxj+bM+zZ1QuptH5PXlvDyEc/+D/8zWV65jHaIt6/bbR0/BacYy/WZ64oTZ0Mfp05UdGGKBlllmOlgaCwRmsV7kuZ6HAA54Jcnrj , seat_info = 未解析出座位
