电影名称,总票房,当日票房,票房占比,排片场次
飞驰人生3,38.44亿,&#xe3ec;&#xf11c;&#xf7d2;&#xef28;.&#xe3ec;&#xe3ec;万,39.9%,164898
镖人：风起大漠,11.58亿,&#xed30;&#xea6f;&#xea60;&#xeb19;.&#xed30;&#xea6f;万,18.1%,86397
熊出没·年年有熊,9.65亿,&#xed30;&#xea6f;&#xea6f;&#xed30;.&#xea60;&#xea60;万,17.0%,51734
惊蛰无声,11.32亿,&#xef28;&#xf7d2;&#xeb19;.&#xed30;&#xed30;万,14.4%,75849
熊猫计划之部落奇遇记,2.52亿,&#xe3ec;&#xf7d2;&#xe3df;.&#xf7d2;&#xe3df;万,4.2%,33508
夜王,1.49亿,&#xe3ec;&#xe3ec;&#xf7d2;.&#xf3e8;&#xe3df;万,3.8%,20137
疯狂动物城2,45.89亿,&#xf3e8;&#xf7d2;.&#xf11c;&#xea6f;万,0.9%,4386
星河入梦,9504.3万,&#xf11c;&#xef28;.&#xe3ec;&#xeb19;万,0.6%,9948
重返·狼群,4959.0万,&#xed30;&#xf11c;.&#xe3df;&#xea6f;万,0.2%,2570
非穷尽列举,33.2万,&#xef28;.&#xf11c;&#xea6f;万,0.1%,909
爱乐之城,3.01亿,&#xea60;.&#xeb19;&#xea6f;万,0.1%,514
阿凡达3,12.00亿,&#xf7d2;.&#xe3df;&#xe3df;万,<0.1%,539
情缘曹雪芹,519.7万,&#xed30;.&#xef28;&#xf7d2;万,<0.1%,23
得闲谨制,4.12亿,&#xed30;.&#xea60;&#xf3e8;万,<0.1%,45
闪灵,4931.6万,&#xed30;.&#xf11c;&#xf3e8;万,<0.1%,145
团圆令,25.7万,&#xed30;.&#xf11c;&#xed30;万,<0.1%,950
泰伯,11.9万,&#xed30;.&#xe3ec;&#xf7d2;万,<0.1%,30
喜欢上“欠欠”的你,3798.9万,&#xea6f;.&#xe3df;&#xe3ec;万,<0.1%,139
重返寂静岭,1.41亿,&#xea6f;.&#xf3e8;&#xef28;万,<0.1%,197
隐者山河,707.7万,&#xea6f;.&#xf3e8;&#xed30;万,<0.1%,9
绿皮车书店,4486,&#xea6f;.&#xf7d2;&#xf7d2;万,<0.1%,5
六六大顺,231.2万,&#xea6f;.&#xf7d2;&#xf11c;万,<0.1%,5
极限审判,6152.6万,&#xea6f;.&#xe3ec;&#xed30;万,<0.1%,61
半夜叫你别回头2,388.6万,&#xea6f;.&#xe3ec;&#xed30;万,<0.1%,138
消失的我,54.9万,&#xea6f;.&#xe3ec;&#xed30;万,<0.1%,541
新神榜：杨戬,5.55亿,&#xea6f;.&#xed30;&#xf3e8;万,<0.1%,2
海洋之谜,70.6万,&#xea6f;.&#xed30;&#xea6f;万,<0.1%,1
翠湖,240.0万,&#xea6f;.&#xed30;&#xea6f;万,<0.1%,20
菜肉馄饨,3013.0万,&#xea6f;.&#xed30;&#xea6f;万,<0.1%,10
藏地情书,502.2万,&#xea6f;.&#xea6f;&#xf3e8;万,<0.1%,21
火凤重天,91.6万,&#xea6f;.&#xea6f;&#xf7d2;万,<0.1%,1
遥远的普若岗日,319.2万,&#xea6f;.&#xea6f;&#xf11c;万,<0.1%,28
梵高：诗情画意,53.0万,&#xea6f;.&#xea6f;&#xf11c;万,<0.1%,5
四郎探母,7287,&#xea6f;.&#xea6f;&#xf11c;万,<0.1%,1
爆水管,1.31亿,&#xea6f;.&#xea6f;&#xe3ec;万,<0.1%,17
飞行家,8093.0万,&#xea6f;.&#xea6f;&#xe3ec;万,<0.1%,11
营救汪星人,224.4万,&#xea6f;.&#xea6f;&#xe3ec;万,<0.1%,8
东北警察故事3,2248.6万,&#xea6f;.&#xea6f;&#xe3ec;万,<0.1%,12
宇宙护卫队：百变流星,237.7万,&#xea6f;.&#xea6f;&#xe3ec;万,<0.1%,9
窗外是蓝星,6014.6万,&#xea6f;.&#xea6f;&#xe3ec;万,<0.1%,5
我的朋友安德烈,1578.5万,&#xea6f;.&#xea6f;&#xed30;万,<0.1%,2
长安三万里,18.24亿,&#xea6f;.&#xea6f;&#xed30;万,<0.1%,5
舒克贝塔之微缩人类,673.0万,&#xea6f;.&#xea6f;&#xed30;万,<0.1%,8
控方证人,644.0万,&#xea6f;.&#xea6f;&#xea6f;万,<0.1%,1
明日回游,5.0万,&#xea6f;.&#xea6f;&#xea6f;万,<0.1%,11
山河故人,3886.8万,&#xea6f;.&#xea6f;&#xea6f;万,<0.1%,1
替身拳手,47.3万,&#xea6f;.&#xea6f;&#xea6f;万,<0.1%,4
海绵宝宝：深海大冒险,4831.9万,&#xea6f;.&#xea6f;&#xea6f;万,<0.1%,3
非传统浪漫关系,516.8万,&#xea6f;.&#xea6f;&#xea6f;万,<0.1%,1
