电影名称,总票房,当日票房,票房占比,排片场次
飞驰人生3,38.46亿,2???.8?万,40.3%,164885
镖人：风起大漠,11.58亿,11??.2?万,18.0%,86350
熊出没·年年有熊,9.66亿,108?.?6万,16.9%,51732
惊蛰无声,11.33亿,?30.7?万,14.4%,75846
熊猫计划之部落奇遇记,2.52亿,26?.76万,4.1%,33520
夜王,1.49亿,2?2.13万,3.7%,20131
疯狂动物城2,45.89亿,?7.33万,0.8%,4390
星河入梦,9506.6万,?0.?7万,0.6%,9941
重返·狼群,4959.4万,1?.10万,0.2%,2569
非穷尽列举,33.3万,8.?7万,0.1%,911
爱乐之城,3.01亿,7.1?万,0.1%,514
阿凡达3,12.00亿,?.?8万,<0.1%,540
情缘曹雪芹,520.0万,2.07万,<0.1%,24
得闲谨制,4.12亿,1.6?万,<0.1%,45
闪灵,4931.7万,1.?2万,<0.1%,145
团圆令,25.7万,1.3?万,<0.1%,950
泰伯,11.9万,1.27万,<0.1%,30
喜欢上“欠欠”的你,3799.0万,0.78万,<0.1%,139
重返寂静岭,1.41亿,0.??万,<0.1%,197
隐者山河,707.7万,0.?1万,<0.1%,9
绿皮车书店,4486,0.??万,<0.1%,5
六六大顺,231.2万,0.?3万,<0.1%,5
半夜叫你别回头2,388.6万,0.23万,<0.1%,138
消失的我,54.9万,0.22万,<0.1%,541
极限审判,6152.6万,0.21万,<0.1%,61
新神榜：杨戬,5.55亿,0.1?万,<0.1%,2
翠湖,240.0万,0.11万,<0.1%,20
海洋之谜,70.6万,0.10万,<0.1%,1
菜肉馄饨,3013.0万,0.10万,<0.1%,10
藏地情书,502.2万,0.0?万,<0.1%,21
火凤重天,91.6万,0.0?万,<0.1%,1
遥远的普若岗日,319.2万,0.0?万,<0.1%,28
梵高：诗情画意,53.0万,0.03万,<0.1%,5
四郎探母,7287,0.03万,<0.1%,1
爆水管,1.31亿,0.02万,<0.1%,17
飞行家,8093.0万,0.02万,<0.1%,11
东北警察故事3,2248.6万,0.02万,<0.1%,12
营救汪星人,224.4万,0.02万,<0.1%,8
宇宙护卫队：百变流星,237.7万,0.02万,<0.1%,9
窗外是蓝星,6014.6万,0.02万,<0.1%,5
控方证人,644.0万,0.01万,<0.1%,1
我的朋友安德烈,1578.5万,0.01万,<0.1%,2
长安三万里,18.24亿,0.01万,<0.1%,5
舒克贝塔之微缩人类,673.0万,0.01万,<0.1%,8
明日回游,5.0万,0.00万,<0.1%,11
山河故人,3886.8万,0.00万,<0.1%,1
替身拳手,47.3万,0.00万,<0.1%,4
海绵宝宝：深海大冒险,4831.9万,0.00万,<0.1%,3
非传统浪漫关系,516.8万,0.00万,<0.1%,1
